Feature,Importance
VehAge,0.20412783191389938
VehPower,0.1677841045125866
Exposure,0.1543396030769056
DrivAge,0.14290779887223057
Density,0.125418088151615
BonusMalus,0.059620759714941365
VehGas_Regular,0.013198928781055927
VehBrand_B12,0.012331662230598695
VehBrand_B2,0.009607535650748365
Region_R24,0.006805521526946851
VehBrand_B3,0.006331583223915541
Area_C,0.006243979654952784
Region_R93,0.0059834943838840225
Region_R82,0.005433327885350429
Area_D,0.005174144027780355
VehBrand_B5,0.004786760686281061
Region_R52,0.0047073850189151625
VehBrand_B6,0.004691363690363485
Area_B,0.004527647857591997
Region_R53,0.004249081993904568
VehBrand_B4,0.004130833624443726
Area_E,0.003910769955041551
Region_R72,0.0038660554783909924
Region_R31,0.0037463363859378293
Region_R91,0.0033677479964855225
Region_R54,0.0031796690179839607
VehBrand_B10,0.0028388124349558986
VehBrand_B13,0.0027884298641663997
VehBrand_B11,0.002762113643954738
Region_R73,0.0024628339634714673
Region_R25,0.002443473584114869
Region_R41,0.002287370054665521
Region_R26,0.002223000512271107
Region_R22,0.0019605894524906443
Region_R23,0.0016964308706338552
Region_R74,0.0012234081646650516
Region_R94,0.0011692887674588594
Region_R83,0.001155281076823812
VehBrand_B14,0.001146588332406718
Area_F,0.0010650879047651779
Region_R21,0.0010187613920813498
Region_R42,0.0008163638745445243
Region_R43,0.000470150793778546
